# file...... ratDigest_METER_R2-12-47-2_tm_63.csv
# date...... Tue Oct  3 14:29:50 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1102
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+2055.34,+14,+124.596+29.305d,+124.693+29.3212d
2009-01-01 12:13:20 CST,+482.253,+2055.49,+14,+124.607+29.325d,+124.704+29.3411d
2009-01-01 12:26:40 CST,+950.06,+1997.3,+14,+124.544+29.3117d,+124.635+29.327d
2009-01-01 12:40:00 CST,+1406.51,+1996.19,+14,+124.464+29.3142d,+124.556+29.3295d
2009-01-01 12:53:20 CST,+1870.29,+2348.35,+125.844,+124.603+29.3061d,+124.692+29.3208d
2009-01-01 13:06:40 CST,+2320.66,+1965.07,+14,+124.617+29.3137d,+124.705+29.3284d
2009-01-01 13:20:00 CST,+2769.42,+1957.25,+14,+124.047+29.3422d,+124.136+29.3571d
2009-01-01 13:33:20 CST,+3212.87,+1924.58,+14,+123.774+29.3227d,+123.86+29.3373d
2009-01-01 13:46:40 CST,+3652.53,+1903.03,+14,+123.439+29.3432d,+123.525+29.3576d
