# file...... ratDigest_METER_R2-12-47-2_tm_46.csv
# date...... Thu Oct 12 13:44:38 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1085
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+7398.47,+35,+128.517-90.8498d,+128.704-90.8104d
2009-01-01 12:13:20 CST,+1608.6,+7089.86,+35,+123.921-90.751d,+124.105-90.7106d
2009-01-01 12:26:40 CST,+3191.14,+7049.8,+35,+123.966-90.6927d,+124.148-90.653d
2009-01-01 12:40:00 CST,+4753.23,+6963.89,+35,+123.923-90.6822d,+124.101-90.6432d
2009-01-01 12:53:20 CST,+6316.42,+6907.19,+35,+123.858-90.7493d,+124.033-90.7108d
2009-01-01 13:06:40 CST,+7871.49,+6875.53,+35,+123.917-90.7024d,+124.09-90.6644d
2009-01-01 13:20:00 CST,+9415,+6769.51,+35,+123.859-90.6403d,+124.029-90.6032d
2009-01-01 13:33:20 CST,+10956.1,+6763.95,+35,+124.597-90.6275d,+124.765-90.591d
2009-01-01 13:46:40 CST,+12482.9,+6730.01,+35,+124.456-90.6918d,+124.623-90.6554d
