# file...... ratDigest_METER_R2-12-47-2_tm_94.csv
# date...... Thu Oct 12 13:33:21 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1133
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+1838.81,+7,+128.325+149.481d,+128.434+149.498d
2009-01-01 12:13:20 CST,+400.743,+1799.64,+7,+125.219+149.506d,+125.329+149.524d
2009-01-01 12:26:40 CST,+792.64,+1742.98,+7,+125.22+149.505d,+125.322+149.522d
