# file...... ratDigest_METER_R2-12-47-2_tm_192.csv
# date...... Tue Oct  3 14:29:50 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1231
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+9468.9,+35,+124.646+29.6716d,+124.906+29.7279d
2009-01-01 12:13:20 CST,+2104.18,+9469.65,+35,+124.658+29.6825d,+124.917+29.7388d
2009-01-01 12:26:40 CST,+4188.52,+9375.44,+35,+124.592+29.6752d,+124.847+29.7307d
2009-01-01 12:40:00 CST,+6260.96,+9286.88,+35,+124.522+29.6796d,+124.773+29.7341d
2009-01-01 12:53:20 CST,+8319.05,+9166.28,+35,+124.683+29.6778d,+124.926+29.7306d
2009-01-01 13:06:40 CST,+10356.1,+9165.78,+35,+124.675+29.6801d,+124.918+29.7329d
2009-01-01 13:20:00 CST,+12385.4,+9084.76,+35,+124.099+29.6917d,+124.34+29.7444d
2009-01-01 13:33:20 CST,+14451.2,+10053.9,+368.337,+123.817+29.6839d,+124.051+29.735d
2009-01-01 13:46:40 CST,+16531.3,+10029.4,+367.305,+123.482+29.6916d,+123.716+29.7429d
