# file...... ratDigest_METER_R2-12-47-2_tm_33.csv
# date...... Thu Oct 12 13:33:21 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1072
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+21553.5,+913.24,+127.954+149.053d,+128.37+149.146d
2009-01-01 12:13:20 CST,+4705.36,+24586.3,+717.866,+124.038+149.077d,+124.451+149.171d
2009-01-01 12:26:40 CST,+10294.8,+35762.3,+717.049,+123.898+149.048d,+124.302+149.141d
