# file...... ratDigest_METER_R2-12-47-2_tm_73.csv
# date...... Tue Oct  3 14:29:50 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1112
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+3407.4,+14,+126.01+29.2056d,+126.217+29.2398d
2009-01-01 12:13:20 CST,+779.468,+3966.6,+182.761,+125.19+29.2303d,+125.398+29.2648d
2009-01-01 12:26:40 CST,+1577.69,+3329.79,+14,+125.163+29.2162d,+125.363+29.2494d
2009-01-01 12:40:00 CST,+2369.98,+3327.83,+14,+125.078+29.2196d,+125.279+29.2529d
2009-01-01 12:53:20 CST,+3132.06,+3281.83,+14,+125.249+29.2124d,+125.442+29.2444d
2009-01-01 13:06:40 CST,+3920.51,+3666.75,+126.521,+125.211+29.2128d,+125.404+29.2449d
2009-01-01 13:20:00 CST,+4694.84,+3843.43,+181.895,+124.635+29.2561d,+124.829+29.2883d
2009-01-01 13:33:20 CST,+5464.99,+3562.03,+125.659,+124.375+29.2286d,+124.561+29.2596d
2009-01-01 13:46:40 CST,+6219.48,+3098.98,+14,+124.064+29.2591d,+124.243+29.289d
