# file...... ratDigest_METER_R2-12-47-2_tm_111.csv
# date...... Tue Oct  3 14:29:50 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1150
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+0,+0,+128.759-90.6263d,+128.759-90.6263d
2009-01-01 12:13:20 CST,+0,+0,+0,+124.931-90.5405d,+124.931-90.5405d
2009-01-01 12:26:40 CST,+0,+0,+0,+124.965-90.5115d,+124.965-90.5115d
2009-01-01 12:40:00 CST,+0,+0,+0,+124.919-90.5042d,+124.919-90.5042d
2009-01-01 12:53:20 CST,+0,+0,+0,+124.857-90.5453d,+124.857-90.5453d
2009-01-01 13:06:40 CST,+0,+0,+0,+124.909-90.5204d,+124.909-90.5204d
2009-01-01 13:20:00 CST,+0,+0,+0,+124.84-90.4871d,+124.84-90.4871d
2009-01-01 13:33:20 CST,+0,+0,+0,+124.802-90.475d,+124.802-90.475d
2009-01-01 13:46:40 CST,+0,+0,+0,+124.667-90.518d,+124.667-90.518d
