# file...... ratDigest_METER_R2-12-47-2_tm_80.csv
# date...... Thu Oct 12 13:33:21 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1119
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+7203.23,+150.962,+128.559-90.752d,+128.73-90.7159d
2009-01-01 12:13:20 CST,+1565.03,+6923.44,+146.225,+123.96-90.6591d,+124.129-90.6222d
2009-01-01 12:26:40 CST,+3101.11,+6544.03,+35,+124.002-90.6191d,+124.171-90.5821d
