# file...... ratDigest_METER_R2-12-47-2_tm_152.csv
# date...... Thu Oct 12 13:33:21 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1191
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+4670.93,+14,+128.516-90.7872d,+128.683-90.7559d
2009-01-01 12:13:20 CST,+1096.88,+5222.4,+236.319,+123.899-90.6957d,+124.062-90.6641d
2009-01-01 12:26:40 CST,+2191.63,+4462,+14,+123.958-90.6496d,+124.121-90.618d
