# file...... ratDigest_METER_R2-12-47-2_tm_83.csv
# date...... Thu Oct 12 13:44:38 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1122
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+8174.45,+28,+128.501+149.665d,+128.709+149.709d
2009-01-01 12:13:20 CST,+1817.46,+8826.83,+309.734,+125.375+149.684d,+125.576+149.728d
2009-01-01 12:26:40 CST,+3609.54,+8826.24,+309.711,+125.365+149.679d,+125.567+149.723d
2009-01-01 12:40:00 CST,+5425.16,+7861.02,+28,+125.377+149.685d,+125.578+149.729d
2009-01-01 12:53:20 CST,+7533.5,+7784.32,+28,+125.38+149.695d,+125.577+149.738d
2009-01-01 13:06:40 CST,+9317.16,+7609.19,+28,+125.352+149.694d,+125.542+149.735d
2009-01-01 13:20:00 CST,+11059.3,+8570.81,+309.492,+125.286+149.686d,+125.476+149.727d
2009-01-01 13:33:20 CST,+12841.3,+7607.41,+28,+125.318+149.693d,+125.509+149.734d
2009-01-01 13:46:40 CST,+14630.1,+8376.11,+253.136,+125.258+149.676d,+125.448+149.718d
