# file...... ratDigest_METER_R2-12-47-2_tm_32.csv
# date...... Tue Oct  3 14:29:50 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1071
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+43028.8,+393.987,+127.986-90.945d,+128.592-90.8109d
2009-01-01 12:13:20 CST,+7996.48,+27203.3,+382.608,+123.565-90.8195d,+124.169-90.6812d
2009-01-01 12:26:40 CST,+13994.5,+27082.2,+382.722,+123.612-90.7609d,+124.211-90.6238d
2009-01-01 12:40:00 CST,+19973.1,+27596.3,+604.672,+123.569-90.7494d,+124.155-90.6149d
2009-01-01 12:53:20 CST,+25857.9,+26354.9,+326.958,+123.517-90.8151d,+124.092-90.6831d
2009-01-01 13:06:40 CST,+31696,+25999.3,+327.083,+123.585-90.7662d,+124.145-90.6379d
2009-01-01 13:20:00 CST,+37478.6,+25149.6,+105,+123.533-90.7042d,+124.09-90.5765d
2009-01-01 13:33:20 CST,+43286.8,+26005.2,+328.471,+124.265-90.6913d,+124.82-90.5647d
2009-01-01 13:46:40 CST,+49097.6,+26724.2,+607.129,+124.121-90.7549d,+124.669-90.6298d
