# file...... ratDigest_METER_R2-12-47-2_tm_174.csv
# date...... Thu Oct 12 13:33:21 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1213
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+1895.43,+7,+128.214+149.13d,+128.307+149.145d
2009-01-01 12:13:20 CST,+475.854,+1845.14,+7,+124.343+149.165d,+124.436+149.181d
2009-01-01 12:26:40 CST,+926.043,+1845.02,+7,+124.334+149.16d,+124.428+149.175d
