# file...... ratDigest_METER_R2-12-47-2_tm_17.csv
# date...... Thu Oct 12 13:33:21 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1056
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+0,+0,+128.506+149.578d,+128.506+149.578d
2009-01-01 12:13:20 CST,+0,+0,+0,+125.4+149.602d,+125.4+149.602d
2009-01-01 12:26:40 CST,+0,+0,+0,+125.394+149.6d,+125.394+149.6d
