# file...... ratDigest_METER_R2-12-47-2_tm_71.csv
# date...... Thu Oct 12 13:44:38 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1110
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+0,+0,+128.713-90.7602d,+128.713-90.7602d
2009-01-01 12:13:20 CST,+0,+0,+0,+124.114-90.6646d,+124.114-90.6646d
2009-01-01 12:26:40 CST,+0,+0,+0,+124.154-90.6171d,+124.154-90.6171d
2009-01-01 12:40:00 CST,+0,+0,+0,+124.11-90.603d,+124.11-90.603d
2009-01-01 12:53:20 CST,+0,+0,+0,+124.043-90.6663d,+124.043-90.6663d
2009-01-01 13:06:40 CST,+0,+0,+0,+124.1-90.6229d,+124.1-90.6229d
2009-01-01 13:20:00 CST,+0,+0,+0,+124.037-90.5706d,+124.037-90.5706d
2009-01-01 13:33:20 CST,+0,+0,+0,+124.773-90.5588d,+124.773-90.5588d
2009-01-01 13:46:40 CST,+0,+0,+0,+124.633-90.6201d,+124.633-90.6201d
