# file...... ratDigest_METER_R2-12-47-2_tm_7.csv
# date...... Thu Oct 12 13:44:38 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1046
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+5480.99,+506.608,+128.202+149.292d,+128.32+149.314d
2009-01-01 12:13:20 CST,+935.351,+3442.71,+14,+125.187+149.334d,+125.306+149.357d
2009-01-01 12:26:40 CST,+1700.44,+3442.54,+14,+125.18+149.331d,+125.298+149.353d
2009-01-01 12:40:00 CST,+2458.76,+3403.3,+14,+125.195+149.35d,+125.31+149.372d
2009-01-01 12:53:20 CST,+3215.01,+3403.22,+14,+125.192+149.357d,+125.307+149.38d
2009-01-01 13:06:40 CST,+3951.58,+3303.97,+14,+125.17+149.364d,+125.279+149.385d
2009-01-01 13:20:00 CST,+4685.66,+3302.34,+14,+125.099+149.343d,+125.208+149.364d
2009-01-01 13:33:20 CST,+5416.09,+3244.22,+14,+125.135+149.356d,+125.24+149.377d
2009-01-01 13:46:40 CST,+6136.95,+3242.62,+14,+125.064+149.319d,+125.169+149.339d
