# file...... ratDigest_METER_R2-12-47-2_tm_133.csv
# date...... Thu Oct 12 13:33:21 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1172
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+10716.4,+35,+124.492+29.3451d,+124.781+29.4077d
2009-01-01 12:13:20 CST,+2384.97,+11351.5,+258.669,+124.499+29.3655d,+124.778+29.4262d
2009-01-01 12:26:40 CST,+4796.59,+10580.2,+35,+124.44+29.3519d,+124.719+29.4127d
