# file...... ratDigest_METER_R2-12-47-2_tm_38.csv
# date...... Thu Oct 12 13:33:21 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1077
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+15561.7,+258.909,+128.045+149.102d,+128.262+149.148d
2009-01-01 12:13:20 CST,+2900.09,+8271.3,+28,+124.293+149.16d,+124.511+149.207d
2009-01-01 12:26:40 CST,+4805.45,+8833.86,+251.153,+124.283+149.155d,+124.492+149.201d
