# file...... ratDigest_METER_R2-12-47-2_tm_177.csv
# date...... Thu Oct 12 13:33:21 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1216
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+10975.4,+547.936,+128.12+149.098d,+128.355+149.148d
2009-01-01 12:13:20 CST,+2369.9,+9905.62,+306.914,+124.259+149.132d,+124.494+149.183d
2009-01-01 12:26:40 CST,+4636.28,+10287.1,+418.431,+124.245+149.126d,+124.481+149.177d
