# file...... ratDigest_METER_R2-12-47-2_tm_123.csv
# date...... Thu Oct 12 13:33:21 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1162
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+29084.6,+120.829,+128.151-90.592d,+128.551-90.5042d
2009-01-01 12:13:20 CST,+5450.93,+17002.2,+63,+124.516-90.4807d,+124.918-90.3901d
2009-01-01 12:26:40 CST,+9288.7,+17461.4,+230.928,+124.557-90.457d,+124.95-90.3681d
