# file...... ratDigest_METER_R2-12-47-2_tm_54.csv
# date...... Thu Oct 12 13:33:21 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1093
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+4584.45,+14,+128.138+149.079d,+128.283+149.106d
2009-01-01 12:13:20 CST,+993.279,+4462.71,+14,+124.267+149.111d,+124.412+149.139d
2009-01-01 12:26:40 CST,+1985.08,+4462.35,+14,+124.255+149.103d,+124.4+149.131d
