# file...... ratDigest_METER_R2-12-47-2_tm_182.csv
# date...... Thu Oct 12 13:33:21 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1221
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+8629.7,+324.78,+128.495-90.8531d,+128.696-90.8108d
2009-01-01 12:13:20 CST,+1828.14,+8729.82,+424.104,+123.892-90.7553d,+124.094-90.7111d
2009-01-01 12:26:40 CST,+3639.21,+7683.29,+146.23,+123.951-90.6957d,+124.147-90.6529d
