# file...... ratDigest_METER_R2-12-47-2_tm_91.csv
# date...... Tue Oct  3 14:29:50 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1130
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+0,+0,+128.423+149.309d,+128.423+149.309d
2009-01-01 12:13:20 CST,+0,+0,+0,+125.325+149.343d,+125.325+149.343d
2009-01-01 12:26:40 CST,+0,+0,+0,+125.318+149.339d,+125.318+149.339d
2009-01-01 12:40:00 CST,+0,+0,+0,+125.331+149.361d,+125.331+149.361d
2009-01-01 12:53:20 CST,+0,+0,+0,+125.327+149.368d,+125.327+149.368d
2009-01-01 13:06:40 CST,+0,+0,+0,+125.301+149.376d,+125.301+149.376d
2009-01-01 13:20:00 CST,+0,+0,+0,+125.231+149.357d,+125.231+149.357d
2009-01-01 13:33:20 CST,+0,+0,+0,+125.262+149.367d,+125.262+149.367d
2009-01-01 13:46:40 CST,+0,+0,+0,+125.19+149.325d,+125.19+149.325d
