# file...... ratDigest_METER_R2-12-47-2_tm_2.csv
# date...... Tue Oct  3 14:29:50 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1041
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+0,+0,+125.235+29.9731d,+125.235+29.9731d
2009-01-01 12:13:20 CST,+0,+0,+0,+125.235+29.9741d,+125.235+29.9741d
2009-01-01 12:26:40 CST,+0,+0,+0,+125.176+29.9734d,+125.176+29.9734d
2009-01-01 12:40:00 CST,+0,+0,+0,+125.101+29.9736d,+125.101+29.9736d
2009-01-01 12:53:20 CST,+0,+0,+0,+125.258+29.9734d,+125.258+29.9734d
2009-01-01 13:06:40 CST,+0,+0,+0,+125.248+29.9736d,+125.248+29.9736d
2009-01-01 13:20:00 CST,+0,+0,+0,+124.653+29.9747d,+124.653+29.9747d
2009-01-01 13:33:20 CST,+0,+0,+0,+124.389+29.974d,+124.389+29.974d
2009-01-01 13:46:40 CST,+0,+0,+0,+124.047+29.9747d,+124.047+29.9747d
