# file...... ratDigest_METER_R2-12-47-2_tm_9.csv
# date...... Tue Oct  3 14:29:50 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1048
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+13159.2,+178.499,+128.041+149.446d,+128.352+149.514d
2009-01-01 12:13:20 CST,+2854.34,+12453.9,+63,+124.95+149.473d,+125.261+149.543d
2009-01-01 12:26:40 CST,+5672.06,+13531.7,+399.949,+124.955+149.478d,+125.261+149.547d
2009-01-01 12:40:00 CST,+8537.41,+13120,+287.622,+124.95+149.479d,+125.256+149.548d
2009-01-01 12:53:20 CST,+11386.9,+12245.1,+63,+124.982+149.5d,+125.282+149.568d
2009-01-01 13:06:40 CST,+14205.5,+12871.4,+287.604,+124.948+149.501d,+125.24+149.566d
2009-01-01 13:20:00 CST,+16985.2,+12693,+287.381,+124.843+149.467d,+125.128+149.532d
2009-01-01 13:33:20 CST,+19774.8,+11931.1,+63,+124.931+149.501d,+125.217+149.565d
2009-01-01 13:46:40 CST,+22951.3,+13411.5,+511.565,+124.796+149.451d,+125.08+149.515d
