# file...... ratDigest_METER_R2-12-47-2_tm_107.csv
# date...... Thu Oct 12 13:44:38 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1146
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+12528.7,+780.558,+128.12+149.477d,+128.346+149.526d
2009-01-01 12:13:20 CST,+2353.09,+9990.53,+217.57,+125.059+149.505d,+125.281+149.555d
2009-01-01 12:26:40 CST,+4576.06,+9308.21,+49,+125.076+149.51d,+125.292+149.558d
2009-01-01 12:40:00 CST,+6704.15,+9849.34,+217.577,+125.068+149.512d,+125.281+149.56d
2009-01-01 12:53:20 CST,+8810.76,+9272.72,+49,+125.089+149.53d,+125.302+149.578d
2009-01-01 13:06:40 CST,+10912.8,+9732.03,+217.554,+125.055+149.53d,+125.264+149.577d
2009-01-01 13:20:00 CST,+12978.3,+8976.46,+49,+124.967+149.502d,+125.168+149.547d
2009-01-01 13:33:20 CST,+15007.5,+8951.11,+49,+125.036+149.531d,+125.236+149.575d
2009-01-01 13:46:40 CST,+17033.8,+9463.81,+217.342,+124.924+149.487d,+125.121+149.531d
