# file...... ratDigest_METER_R2-12-47-2_tm_53.csv
# date...... Thu Oct 12 13:33:21 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1092
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+0,+0,+128.683-90.8168d,+128.683-90.8168d
2009-01-01 12:13:20 CST,+0,+0,+0,+124.091-90.7146d,+124.091-90.7146d
2009-01-01 12:26:40 CST,+0,+0,+0,+124.134-90.6568d,+124.134-90.6568d
