# file...... ratDigest_METER_R2-12-47-2_tm_115.csv
# date...... Thu Oct 12 13:33:21 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1154
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+7549.76,+35,+128.493-90.5237d,+128.692-90.4817d
2009-01-01 12:13:20 CST,+1652.88,+7266.74,+35,+124.706-90.4393d,+124.901-90.3971d
2009-01-01 12:26:40 CST,+3299.03,+7221.17,+35,+124.749-90.4159d,+124.94-90.3744d
