# file...... ratDigest_METER_R2-12-47-2_tm_66.csv
# date...... Thu Oct 12 13:33:21 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1105
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+6538.37,+747.948,+128.545-90.5061d,+128.634-90.4873d
2009-01-01 12:13:20 CST,+1259.57,+8456.77,+1972.84,+124.706-90.4194d,+124.792-90.4006d
2009-01-01 12:26:40 CST,+2427.36,+3552.07,+35,+124.85-90.394d,+124.936-90.3753d
