# file...... ratDigest_METER_R2-12-47-2_tm_99.csv
# date...... Thu Oct 12 13:44:38 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1138
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+17426.9,+70,+124.451+29.407d,+124.857+29.4987d
2009-01-01 12:13:20 CST,+3951.03,+18159.1,+293.709,+124.457+29.4249d,+124.86+29.516d
2009-01-01 12:26:40 CST,+7882.91,+17376.5,+125.895,+124.398+29.4135d,+124.794+29.5029d
2009-01-01 12:40:00 CST,+11750.8,+16965.8,+70,+124.328+29.4175d,+124.715+29.5051d
2009-01-01 12:53:20 CST,+15594.6,+18129.7,+461.533,+124.481+29.4135d,+124.859+29.499d
2009-01-01 13:06:40 CST,+19459.1,+16739.8,+70,+124.484+29.4177d,+124.859+29.5024d
2009-01-01 13:20:00 CST,+23273.2,+18275,+570.713,+123.902+29.4417d,+124.273+29.526d
2009-01-01 13:33:20 CST,+27067.5,+16434.3,+70,+123.643+29.4261d,+124.011+29.51d
2009-01-01 13:46:40 CST,+30950.6,+18432.2,+678.523,+123.29+29.4413d,+123.657+29.5252d
