# file...... ratDigest_METER_R2-12-47-2_tm_175.csv
# date...... Thu Oct 12 13:33:21 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1214
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+0,+0,+126.308+29.2373d,+126.308+29.2373d
2009-01-01 12:13:20 CST,+0,+0,+0,+125.523+29.2693d,+125.523+29.2693d
2009-01-01 12:26:40 CST,+0,+0,+0,+125.455+29.2517d,+125.455+29.2517d
