# file...... ratDigest_METER_R2-12-47-2_tm_18.csv
# date...... Tue Oct  3 14:29:50 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1057
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+2394.36,+21,+124.742+29.5896d,+124.819+29.6043d
2009-01-01 12:13:20 CST,+532.063,+2394.54,+21,+124.753+29.6032d,+124.829+29.6179d
2009-01-01 12:26:40 CST,+1068.64,+2585.17,+76.9579,+124.68+29.5929d,+124.756+29.6077d
2009-01-01 12:40:00 CST,+1604.55,+2363.14,+21,+124.61+29.5967d,+124.684+29.6111d
2009-01-01 12:53:20 CST,+2135.79,+2348.74,+21,+124.767+29.593d,+124.841+29.6073d
2009-01-01 13:06:40 CST,+2660.29,+2493.09,+76.9956,+124.756+29.5958d,+124.827+29.6095d
2009-01-01 13:20:00 CST,+3181.33,+2291.97,+21,+124.187+29.6134d,+124.258+29.6272d
2009-01-01 13:33:20 CST,+3701.94,+2462.83,+76.5608,+123.908+29.6012d,+123.979+29.6149d
2009-01-01 13:46:40 CST,+4213.98,+2267.07,+21,+123.577+29.6131d,+123.648+29.6269d
