# file...... ratDigest_REG_R2-12-47-2_reg_2.csv
# date...... Tue Oct  3 14:29:50 2017
# user...... dpinney
# host...... (null)
# target.... regulator 133
# trigger... (none)
# interval.. 450
# limit..... 0
# timestamp,power_out_A, power_out_B, power_out_C, current_out_A, current_out_B, current_out_C, tap_A, tap_B, tap_C
2009-01-01 12:00:00 CST,+142685+5962.1j,+149440+5901.19j,+222365+10406.5j,+16.7915+8.53829j,-0.999145-19.3356i,-24.1202+15.9025i,2,0,0
2009-01-01 12:07:30 CST,+140779+5775.15j,+128438+4915.06j,+209049+8300.88j,+16.6636+8.49125j,-0.84876-17.2377i,-23.4901+15.2411i,1,-1,-1
2009-01-01 12:15:00 CST,+137773+8424.38j,+107980+4382.42j,+216200+8014.14j,+16.4974+7.99422j,-0.741085-14.4897i,-24.3317+15.6968i,1,-1,-1
2009-01-01 12:22:30 CST,+135087+9489.21j,+107010+4186.58j,+189625+7670.39j,+16.2548+7.69786j,-0.702827-14.3564i,-21.3027+13.8186i,1,-1,-1
2009-01-01 12:30:00 CST,+137945+8939.05j,+88885.2+4366.09j,+187595+7203.29j,+16.5585+7.95302j,-0.698443-11.9275i,-21.1014+13.6267i,1,-1,-1
2009-01-01 12:37:30 CST,+120735+6534.59j,+112007+4503.54j,+202362+7270.59j,+14.4031+7.11449j,-0.757361-15.0337i,-22.7926+14.6651i,1,-1,-1
2009-01-01 12:45:00 CST,+130668+6531.18j,+111305+4404.21j,+186848+7454.45j,+15.4384+7.70082j,-0.738405-14.942i,-21.0008+13.6063i,2,-1,-1
2009-01-01 12:52:30 CST,+138376+6418.55j,+125356+4628.1j,+193666+7964.59j,+16.4251+8.25921j,-0.802057-16.8325i,-21.7505+14.1309i,1,-1,-1
2009-01-01 13:00:00 CST,+128963+8805.22j,+105359+4281.53j,+186478+7799.73j,+15.4876+7.37825j,-0.71677-14.1405i,-20.9385+13.6319i,1,-1,-1
2009-01-01 13:07:30 CST,+135065+8921.62j,+103447+3824.94j,+182212+6722.39j,+16.2041+7.75836j,-0.647011-13.8826i,-20.5231+13.2055i,1,-1,-1
2009-01-01 13:15:00 CST,+129498+6193.9j,+109070+4355.49j,+181964+6967.68j,+15.4536+7.75027j,-0.738508-14.6516i,-20.4864+13.224i,1,-1,-1
2009-01-01 13:22:30 CST,+136042+6463.97j,+110444+4298.06j,+183102+7488.67j,+16.2316+8.14594j,-0.72309-14.8336i,-20.5814+13.3581i,1,-1,-1
2009-01-01 13:30:00 CST,+151023+6434.8j,+109961+4311.33j,+182060+7356.68j,+18.0192+9.13763j,-0.727778-14.7748i,-20.4663+13.28i,1,-1,-1
2009-01-01 13:37:30 CST,+123509+7717.17j,+104657+4340.41j,+213856+7157.67j,+14.8872+7.19982j,-0.723427-13.9767i,-24.135+15.4379i,1,0,-1
2009-01-01 13:45:00 CST,+120805+8471.35j,+121754+3959.01j,+189657+7320.11j,+14.6627+6.95408j,-0.698774-16.274i,-21.3507+13.7984i,1,0,-1
2009-01-01 13:52:30 CST,+119485+5463.34j,+105103+4587.39j,+196906+8202.15j,+14.309+7.21742j,-0.759736-14.0469i,-22.1252+14.3965i,1,0,-1
