# file...... ratDigest_METER_R2-12-47-2_tm_102.csv
# date...... Thu Oct 12 13:33:21 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1141
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+29215.1,+77,+128.184-90.5735d,+128.716-90.4564d
2009-01-01 12:13:20 CST,+5501.48,+23164.5,+244.868,+124.454-90.4835d,+124.975-90.3654d
2009-01-01 12:26:40 CST,+10665.8,+22435.7,+77,+124.502-90.4599d,+125.016-90.3434d
