# file...... ratDigest_METER_R2-12-47-2_tm_179.csv
# date...... Thu Oct 12 13:33:21 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1218
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+2398.82,+7,+128.495-90.8435d,+128.621-90.823d
2009-01-01 12:13:20 CST,+621.56,+3464.6,+340.199,+123.825-90.7578d,+123.953-90.7363d
2009-01-01 12:26:40 CST,+1216.21,+2258.27,+7,+123.946-90.6917d,+124.064-90.672d
