# file...... ratDigest_METER_R2-12-47-2_tm_22.csv
# date...... Tue Oct  3 14:29:50 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1061
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+10168.2,+261.827,+126.057+29.1811d,+126.293+29.2319d
2009-01-01 12:13:20 CST,+2219.91,+9222.65,+35,+125.287+29.2159d,+125.518+29.2657d
2009-01-01 12:26:40 CST,+4392.79,+9124.57,+35,+125.221+29.1979d,+125.447+29.247d
2009-01-01 12:40:00 CST,+6529.31,+9822.17,+259.901,+125.128+29.1985d,+125.35+29.2466d
2009-01-01 12:53:20 CST,+8628.13,+9774.12,+260.237,+125.293+29.1848d,+125.511+29.2319d
2009-01-01 13:06:40 CST,+11219.5,+13541.1,+260.07,+125.213+29.1806d,+125.429+29.2274d
2009-01-01 13:20:00 CST,+13455.3,+9598.95,+259.06,+124.722+29.2435d,+124.936+29.2899d
2009-01-01 13:33:20 CST,+15479.7,+9475.96,+258.486,+124.445+29.2109d,+124.654+29.2564d
2009-01-01 13:46:40 CST,+17497,+8982.33,+146.397,+124.109+29.2387d,+124.315+29.2835d
