# file...... ratDigest_METER_R2-12-47-2_tm_187.csv
# date...... Thu Oct 12 13:33:21 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1226
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+47901.7,+161,+127.369+148.927d,+128.451+149.167d
2009-01-01 12:13:20 CST,+10676.9,+50951.8,+161,+123.454+148.948d,+124.519+149.192d
2009-01-01 12:26:40 CST,+20985.6,+45829.2,+161,+123.511+148.953d,+124.561+149.193d
