# file...... ratDigest_METER_R2-12-47-2_tm_48.csv
# date...... Thu Oct 12 13:33:21 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1087
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+9826.24,+261.817,+126.06+29.1801d,+126.281+29.2275d
2009-01-01 12:13:20 CST,+2140.77,+9691.46,+260.213,+125.281+29.2148d,+125.499+29.2619d
2009-01-01 12:26:40 CST,+4241.55,+9618.53,+260.07,+125.214+29.1966d,+125.428+29.243d
