# file...... ratDigest_METER_R2-12-47-2_tm_77.csv
# date...... Tue Oct  3 14:29:50 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1116
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+8666.25,+606.045,+128.22+149.226d,+128.386+149.261d
2009-01-01 12:13:20 CST,+1731.36,+7464.2,+307.077,+124.357+149.261d,+124.523+149.297d
2009-01-01 12:26:40 CST,+3382.49,+7286.16,+307.063,+124.357+149.258d,+124.513+149.292d
2009-01-01 12:40:00 CST,+4989.91,+7286.87,+307.097,+124.37+149.284d,+124.526+149.318d
2009-01-01 12:53:20 CST,+6565.56,+6856.9,+195.461,+124.373+149.291d,+124.526+149.324d
2009-01-01 13:06:40 CST,+8121.42,+6281.96,+28,+124.355+149.302d,+124.508+149.335d
2009-01-01 13:20:00 CST,+9662.38,+6252.35,+28,+124.287+149.283d,+124.439+149.316d
2009-01-01 13:33:20 CST,+11167.1,+6635.4,+195.366,+124.316+149.293d,+124.46+149.324d
2009-01-01 13:46:40 CST,+13529.7,+6417.51,+139.505,+124.246+149.246d,+124.39+149.278d
