# file...... ratDigest_SWITCH_R2-12-47-2_switch_2.csv
# date...... Tue Oct  3 14:29:50 2017
# user...... dpinney
# host...... (null)
# target.... switch 637
# trigger... (none)
# interval.. 450
# limit..... 0
# timestamp,phase_A_state, phase_B_state, phase_C_state
2009-01-01 12:00:00 CST,CLOSED,CLOSED,CLOSED
2009-01-01 12:07:30 CST,CLOSED,CLOSED,CLOSED
2009-01-01 12:15:00 CST,CLOSED,CLOSED,CLOSED
2009-01-01 12:22:30 CST,CLOSED,CLOSED,CLOSED
2009-01-01 12:30:00 CST,CLOSED,CLOSED,CLOSED
2009-01-01 12:37:30 CST,CLOSED,CLOSED,CLOSED
2009-01-01 12:45:00 CST,CLOSED,CLOSED,CLOSED
2009-01-01 12:52:30 CST,CLOSED,CLOSED,CLOSED
2009-01-01 13:00:00 CST,CLOSED,CLOSED,CLOSED
2009-01-01 13:07:30 CST,CLOSED,CLOSED,CLOSED
2009-01-01 13:15:00 CST,CLOSED,CLOSED,CLOSED
2009-01-01 13:22:30 CST,CLOSED,CLOSED,CLOSED
2009-01-01 13:30:00 CST,CLOSED,CLOSED,CLOSED
2009-01-01 13:37:30 CST,CLOSED,CLOSED,CLOSED
2009-01-01 13:45:00 CST,CLOSED,CLOSED,CLOSED
2009-01-01 13:52:30 CST,CLOSED,CLOSED,CLOSED
