# file...... ratDigest_METER_R2-12-47-2_tm_26.csv
# date...... Tue Oct  3 14:29:50 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1065
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+6520,+28,+128.293+149.366d,+128.463+149.402d
2009-01-01 12:13:20 CST,+1435.5,+6348.63,+28,+125.193+149.396d,+125.361+149.432d
2009-01-01 12:26:40 CST,+2843.39,+6274.65,+28,+125.189+149.393d,+125.353+149.429d
2009-01-01 12:40:00 CST,+4253.07,+6230.35,+28,+125.203+149.41d,+125.363+149.445d
2009-01-01 12:53:20 CST,+5632.9,+6169.2,+28,+125.202+149.419d,+125.36+149.453d
2009-01-01 13:06:40 CST,+7014.37,+6360.71,+84.2315,+125.172+149.424d,+125.33+149.458d
2009-01-01 13:20:00 CST,+8382.43,+6001.97,+28,+125.11+149.407d,+125.261+149.439d
2009-01-01 13:33:20 CST,+9723.87,+6003.27,+28,+125.142+149.418d,+125.293+149.451d
2009-01-01 13:46:40 CST,+11055.8,+6096.88,+84.1773,+125.072+149.383d,+125.219+149.414d
