# file...... ratDigest_METER_R2-12-47-2_tm_40.csv
# date...... Thu Oct 12 13:33:21 2017
# user...... dpinney
# host...... (null)
# target.... triplex_meter 1079
# trigger... (none)
# interval.. 800
# limit..... 0
# timestamp,measured_real_energy, measured_real_power, measured_reactive_power, measured_voltage_1, measured_voltage_2
2009-01-01 12:00:00 CST,+0,+8696.09,+261.837,+126.079+29.1832d,+126.281+29.2266d
2009-01-01 12:13:20 CST,+1932.74,+9300.16,+485.439,+125.295+29.2186d,+125.492+29.2612d
2009-01-01 12:26:40 CST,+3778.6,+7718.05,+35,+125.244+29.2013d,+125.439+29.2435d
