# file...... RADICS_sub_1_SCADA_power.csv
# date...... Tue Aug 29 07:28:49 2017
# user...... thek306
# host...... (null)
# target.... transformer 50660
# trigger... (none)
# interval.. 4
# limit..... 0
# timestamp,power_out_real, power_out_imag, power_out_A.real, power_out_A.imag, power_out_B.real, power_out_B.imag, power_out_C.real, power_out_C.imag
2009-07-01 09:00:00 EDT,+6380892.85939,+2523.71038372,+1760643.27243,-277333.854857,+2098609.43491,+113686.269155,+2521640.15205,+166171.296086
2009-07-01 09:00:04 EDT,+6383435.12738,+3503.10530365,+1760643.26224,-277333.956377,+2101092.49411,+114664.443957,+2521699.37103,+166172.617723
2009-07-01 09:00:08 EDT,+6387760.86619,+4606.10288771,+1760771.6409,-277336.852619,+2105289.67222,+115768.459301,+2521699.55307,+166174.496205
2009-07-01 09:00:12 EDT,+6388021.47906,+4610.62483693,+1760966.02983,-277332.601686,+2105355.86211,+115769.136963,+2521699.58712,+166174.08956
2009-07-01 09:00:16 EDT,+6388223.64803,+4616.10087345,+1761033.02001,-277331.226589,+2105355.86142,+115769.13913,+2521834.7666,+166178.188333
2009-07-01 09:00:20 EDT,+6403866.80477,+8718.79207836,+1761034.70168,-277337.360408,+2112002.56167,+117488.486413,+2530829.54142,+168567.666073
2009-07-01 09:00:24 EDT,+6404015.29374,+8721.48269601,+1761034.64257,-277337.541435,+2112052.81066,+117489.045647,+2530927.8405,+168569.978485
2009-07-01 09:00:28 EDT,+6410337.75881,+10447.9803802,+1767176.79261,-275614.662156,+2112174.16423,+117491.084085,+2530986.80197,+168571.558451
2009-07-01 09:00:32 EDT,+6364417.2411,+12502.006558,+1754326.59541,-271725.060621,+2097005.78272,+116717.37478,+2513084.86297,+167509.692398
2009-07-01 09:00:36 EDT,+6364598.65429,+12505.0722082,+1754423.59641,-271722.904935,+2097090.18463,+116718.468534,+2513084.87325,+167509.50861
2009-07-01 09:00:40 EDT,+6364757.16754,+12508.5030844,+1754493.47729,-271721.619741,+2097090.19723,+116718.441897,+2513173.49302,+167511.680928
2009-07-01 09:00:44 EDT,+6373147.3228,+14791.6105318,+1758707.97841,-270547.714804,+2097153.17538,+116707.993046,+2517286.16901,+168631.33229
2009-07-01 09:00:48 EDT,+6373344.62964,+14795.0104902,+1758745.78139,-270547.326186,+2097231.58014,+116709.247551,+2517367.26811,+168633.089125
2009-07-01 09:00:52 EDT,+6373532.72341,+14797.8819802,+1758745.63608,-270547.480507,+2097379.73689,+116711.572657,+2517407.35044,+168633.78983
2009-07-01 09:00:56 EDT,+6380196.95882,+16477.230629,+1758745.66325,-270547.443576,+2097379.74259,+116711.479766,+2524071.55298,+170313.194438
2009-07-01 09:01:00 EDT,+6380514.18433,+16528.1114701,+1758782.74095,-270537.407115,+2097533.35495,+116727.566547,+2524198.08842,+170337.952038
2009-07-01 09:01:04 EDT,+6338426.31385,+19354.5126848,+1746149.07708,-266721.334243,+2082625.27727,+115971.211451,+2509651.95951,+170104.635476
2009-07-01 09:01:08 EDT,+6338497.88071,+19355.6931597,+1746149.07598,-266721.33405,+2082696.84362,+115972.386725,+2509651.9611,+170104.640485
2009-07-01 09:01:12 EDT,+6338645.57907,+19359.0658479,+1746202.24856,-266720.318691,+2082758.51463,+115973.828826,+2509684.81588,+170105.555713
2009-07-01 09:01:16 EDT,+6338791.00801,+19362.0445018,+1746271.47364,-266718.26212,+2082758.5178,+115973.790959,+2509761.01657,+170106.515662
2009-07-01 09:01:20 EDT,+6342096.79866,+20226.2997808,+1746268.89347,-266722.084865,+2086046.95764,+116840.317513,+2509780.94755,+170108.067133
2009-07-01 09:01:24 EDT,+6342204.95382,+20228.3464832,+1746304.98795,-266721.046865,+2086046.96088,+116840.182522,+2509853.00499,+170109.210826
2009-07-01 09:01:28 EDT,+6342418.50872,+20231.7887196,+1746304.93325,-266721.265647,+2086160.6956,+116841.598559,+2509952.87987,+170111.455808
2009-07-01 09:01:32 EDT,+6342555.75113,+20234.4357326,+1746328.99167,-266720.914662,+2086160.70237,+116841.310041,+2510066.05709,+170114.040353
2009-07-01 09:01:36 EDT,+6298235.81734,+22220.1117374,+1733889.8539,-262971.95611,+2071589.1689,+116100.839525,+2492756.79453,+169091.228323
2009-07-01 09:01:40 EDT,+6305991.63196,+24227.0034344,+1735617.68259,-262528.400467,+2071657.44057,+116101.898085,+2498716.5088,+170653.505816
2009-07-01 09:01:44 EDT,+6306077.72722,+24228.8410148,+1735617.64334,-262528.442931,+2071693.20251,+116102.490866,+2498766.88137,+170654.79308
2009-07-01 09:01:48 EDT,+6306269.19968,+24231.3363771,+1735640.08756,-262528.121419,+2071693.20848,+116102.244163,+2498935.90364,+170657.213633
2009-07-01 09:01:52 EDT,+6311399.54812,+25585.0512866,+1735679.02282,-262536.828876,+2076785.10773,+117460.435184,+2498935.41757,+170661.444979
2009-07-01 09:01:56 EDT,+6311539.97816,+25587.6074964,+1735764.60051,-262534.941411,+2076785.1114,+117460.377816,+2498990.26624,+170662.171092
2009-07-01 09:02:00 EDT,+6233961.93469,+10393.7046628,+1730428.90074,-264230.94591,+2034148.39846,+107622.875166,+2469384.63549,+167001.775407
2009-07-01 09:02:04 EDT,+6219260.43884,+7681.01917386,+1729504.61626,-264519.90946,+2027702.84183,+105567.543686,+2462052.98075,+166633.384948
2009-07-01 09:02:08 EDT,+6175550.67079,+9386.74989899,+1716834.2001,-261006.871817,+2013671.4327,+104892.1472,+2445045.03799,+165501.474516
2009-07-01 09:02:12 EDT,+6171634.75755,+7662.71064191,+1716328.31037,-261187.256267,+2010689.74934,+103497.35017,+2444616.69783,+165352.616738
2009-07-01 09:02:16 EDT,+6187678.62702,+11746.7070756,+1725999.25006,-258628.303566,+2009689.42625,+103165.756469,+2451989.9507,+167209.254173
2009-07-01 09:02:20 EDT,+6178970.34688,+9452.65372756,+1726005.9498,-258617.86184,+2000940.64408,+100863.734798,+2452023.753,+167206.780769
2009-07-01 09:02:24 EDT,+6185429.79168,+11147.429926,+1726005.93152,-258618.026873,+2007334.39747,+102557.041564,+2452089.46268,+167208.415235
2009-07-01 09:02:28 EDT,+6176574.69542,+8650.78312219,+1717089.69083,-261125.115668,+2007334.14802,+102556.572092,+2452150.85656,+167219.326698
2009-07-01 09:02:32 EDT,+6174854.81831,+8182.26896329,+1719105.31705,-260561.898819,+2003598.19255,+101526.214588,+2452151.30871,+167217.953194
2009-07-01 09:02:36 EDT,+6185934.84167,+11529.0933203,+1719073.78515,-260593.818575,+2014709.71536,+104904.437904,+2452151.34116,+167218.473992
2009-07-01 09:02:40 EDT,+6141206.74637,+12419.7768681,+1706035.02447,-257621.959313,+1999355.08017,+103775.227787,+2435816.64173,+166266.508394
2009-07-01 09:02:44 EDT,+6141057.62024,+12317.7044684,+1706182.77213,-257618.842314,+1999058.2026,+103670.038153,+2435816.64551,+166266.50863
2009-07-01 09:02:48 EDT,+6148063.28349,+13652.9910072,+1705806.45725,-257759.855616,+1999207.81344,+103661.950141,+2443049.0128,+167750.896482
2009-07-01 09:02:52 EDT,+6140110.71165,+11475.046448,+1705296.00862,-257934.662329,+1999207.39745,+103671.583782,+2435607.30558,+165738.124994
2009-07-01 09:02:56 EDT,+6125578.12066,+7567.88251379,+1705096.47544,-257997.149467,+1999206.33398,+103695.437354,+2421275.31124,+161869.594626
2009-07-01 09:03:00 EDT,+6120869.94453,+6255.18125611,+1705178.22093,-257985.313164,+1994794.26417,+102494.102415,+2420897.45944,+161746.392006
2009-07-01 09:03:04 EDT,+6121202.12543,+6260.66085804,+1705225.10093,-257984.02811,+1995002.56455,+102496.811759,+2420974.45995,+161747.877208
2009-07-01 09:03:08 EDT,+6094028.42987,+5091.15150755,+1703029.10612,-256747.672438,+1975100.62245,+100300.771123,+2415898.7013,+161538.052823
2009-07-01 09:03:12 EDT,+6063628.71172,+9534.06699774,+1693161.52574,-253052.646341,+1970461.61182,+101972.06866,+2400005.57417,+160614.644679
2009-07-01 09:03:16 EDT,+6063699.55272,+9535.36941346,+1693184.68693,-253052.404667,+1970509.29031,+101973.121094,+2400005.57548,+160614.652986
2009-07-01 09:03:20 EDT,+6049335.91628,+5704.4188387,+1689004.05143,-254170.680207,+1960268.79444,+99260.3746945,+2400063.07041,+160614.724351
2009-07-01 09:03:24 EDT,+6051440.0074,+7053.55990655,+1689049.41243,-254174.398648,+1966296.88306,+101710.735039,+2396093.7119,+159517.223515
2009-07-01 09:03:28 EDT,+6052853.82949,+7378.60919339,+1689157.13312,-254176.891394,+1970614.74896,+102841.516622,+2393081.94742,+158713.983966
2009-07-01 09:03:32 EDT,+6044294.43296,+5405.71050296,+1681901.94693,-256159.896156,+1969255.33898,+102823.39945,+2393137.14705,+158742.207209
2009-07-01 09:03:36 EDT,+6037629.16095,+5502.03179208,+1687199.1821,-254852.30397,+1958884.29783,+101665.034395,+2391545.68102,+158689.301367
2009-07-01 09:03:40 EDT,+6026016.02661,+7072.72078222,+1693505.82969,-253097.003674,+1940964.22666,+101478.790031,+2391545.97026,+158690.934425
2009-07-01 09:03:44 EDT,+5986009.34311,+7870.61369749,+1683906.17516,-249453.010508,+1929662.83251,+100975.228204,+2372440.33545,+156348.396002
2009-07-01 09:03:48 EDT,+5983680.51242,+8491.02378779,+1688110.95082,-248536.182888,+1929662.08367,+100984.760349,+2365907.47794,+156042.446327
2009-07-01 09:03:52 EDT,+5981528.93296,+8222.74840792,+1688110.80128,-248535.910044,+1928071.72173,+100894.300745,+2365346.40995,+155864.357707
2009-07-01 09:03:56 EDT,+5992568.97641,+11164.9353067,+1688228.28803,-248540.077002,+1938978.34381,+103838.407038,+2365362.34457,+155866.60527
2009-07-01 09:04:00 EDT,+6000019.77497,+15541.3070248,+1684456.94437,-248624.530741,+1944064.0765,+105189.000208,+2371498.7541,+158976.837558
2009-07-01 09:04:04 EDT,+5991559.32593,+15362.5423844,+1684547.1992,-248618.252589,+1944063.57046,+105196.178962,+2362948.55626,+158784.616011
2009-07-01 09:04:08 EDT,+5979940.93645,+13584.0888288,+1685482.99476,-248395.677974,+1943832.79306,+105148.373054,+2350625.14863,+156831.393749
2009-07-01 09:04:12 EDT,+5976468.13408,+14617.2223094,+1686464.48492,-248314.770553,+1946056.00201,+106286.962697,+2343947.64715,+156645.030165
2009-07-01 09:04:16 EDT,+5925369.3815,+13432.9550951,+1671483.37244,-246200.750234,+1929788.24177,+104425.9497,+2324097.76729,+155207.755629
2009-07-01 09:04:20 EDT,+5921766.69204,+10104.5072516,+1672434.4304,-246129.09184,+1921170.71369,+101888.477292,+2328161.54795,+154345.121799
2009-07-01 09:04:24 EDT,+5899030.70647,+6901.63306081,+1672469.58324,-246115.119987,+1905925.47577,+100712.659166,+2320635.64746,+152304.093882
2009-07-01 09:04:28 EDT,+5898892.19794,+6903.31813689,+1672526.4209,-246117.726428,+1900316.4789,+100620.916181,+2326049.29815,+152400.128384
2009-07-01 09:04:32 EDT,+5896050.71894,+8909.24906351,+1670126.13551,-245443.725782,+1899874.4112,+101962.186042,+2326050.17223,+152390.788804
2009-07-01 09:04:36 EDT,+5891857.21437,+8749.16505372,+1670155.07612,-245442.671883,+1895651.90526,+101801.330301,+2326050.23299,+152390.506635
2009-07-01 09:04:40 EDT,+5864940.60232,+4212.85494675,+1654968.06214,-248284.184192,+1895424.78621,+101735.932068,+2314547.75396,+150761.107072
2009-07-01 09:04:44 EDT,+5857087.31117,+4092.31351044,+1655071.86627,-248289.101445,+1889655.51405,+101592.110884,+2312359.93085,+150789.304071
2009-07-01 09:04:48 EDT,+5822856.60735,+6852.36242996,+1635015.479,-246614.982816,+1887637.62352,+103353.494129,+2300203.50483,+150113.851117
2009-07-01 09:04:52 EDT,+5836344.24023,+9293.73395775,+1636816.1428,-246487.461659,+1896865.36013,+105498.544741,+2302662.7373,+150282.650876
2009-07-01 09:04:56 EDT,+5825322.01482,+9126.48841599,+1636840.82751,-246479.907739,+1885778.58735,+105321.763403,+2302702.59996,+150284.632752
2009-07-01 09:05:00 EDT,+5819193.75252,+10196.6144321,+1636997.21488,-246468.301562,+1879203.40481,+106355.627254,+2302993.13282,+150309.28874
2009-07-01 09:05:04 EDT,+5806089.54156,+7465.06483506,+1637266.03619,-246389.432024,+1879414.08596,+105982.571035,+2289409.41941,+147871.925825
2009-07-01 09:05:08 EDT,+5807972.22507,+7174.46395905,+1637298.88829,-246365.903709,+1884953.86705,+105754.745346,+2285719.46973,+147785.622322
2009-07-01 09:05:12 EDT,+5781740.49877,+1978.19046421,+1629185.23681,-249009.684562,+1876283.55011,+103428.154556,+2276271.71185,+147559.720469
2009-07-01 09:05:16 EDT,+5791880.15305,+4222.54115414,+1636950.54868,-248162.990047,+1883694.57266,+106213.714185,+2271235.03171,+146171.817016
2009-07-01 09:05:20 EDT,+5753423.09779,+2792.83620111,+1635227.08049,-247163.539313,+1874560.95516,+107311.897363,+2243635.06215,+142644.478151
