# file...... RADICS_sub_2_SCADA_power.csv
# date...... Tue Aug 29 07:28:49 2017
# user...... thek306
# host...... (null)
# target.... transformer 50661
# trigger... (none)
# interval.. 4
# limit..... 0
# timestamp,power_out_real, power_out_imag, power_out_A.real, power_out_A.imag, power_out_B.real, power_out_B.imag, power_out_C.real, power_out_C.imag
2009-07-01 09:00:00 EDT,+12589814.3935,+363856.839391,+4405062.40746,+134673.77647,+3865545.71758,+109855.330838,+4319206.26851,+119327.732084
2009-07-01 09:00:04 EDT,+12589814.3885,+363856.851962,+4405062.40648,+134673.773698,+3865545.7201,+109855.341272,+4319206.26197,+119327.736992
2009-07-01 09:00:08 EDT,+12595936.3066,+365424.421691,+4408671.31785,+135572.301725,+3865546.4199,+109848.638091,+4321718.56882,+120003.481875
2009-07-01 09:00:12 EDT,+12601222.2235,+366787.545075,+4408672.09199,+135565.597613,+3870832.81526,+111218.189636,+4321717.3163,+120003.757826
2009-07-01 09:00:16 EDT,+12601319.8637,+366788.361884,+4408702.03291,+135565.65507,+3870832.83423,+111218.097853,+4321784.99657,+120004.608961
2009-07-01 09:00:20 EDT,+12601417.5881,+366789.932096,+4408732.11802,+135566.212046,+3870832.84811,+111217.926585,+4321852.62198,+120005.793465
2009-07-01 09:00:24 EDT,+12606893.7044,+368223.419254,+4408776.92943,+135567.353158,+3870834.55818,+111203.506216,+4327282.21682,+121452.55988
2009-07-01 09:00:28 EDT,+12606994.7389,+368224.341155,+4408776.93174,+135567.249408,+3870881.02627,+111203.950641,+4327336.78085,+121453.141106
2009-07-01 09:00:32 EDT,+12677743.3794,+370379.605805,+4432120.59381,+135973.292012,+3890949.98412,+111524.384974,+4354672.80152,+122881.928819
2009-07-01 09:00:36 EDT,+12677854.6961,+370380.460973,+4432159.56381,+135973.270218,+3891022.33121,+111525.364233,+4354672.80108,+122881.826522
2009-07-01 09:00:40 EDT,+12678007.1804,+370381.930703,+4432312.04871,+135975.014192,+3891022.29286,+111525.31661,+4354672.83884,+122881.599901
2009-07-01 09:00:44 EDT,+12682352.6819,+371477.153333,+4432407.64711,+135967.510523,+3895231.64613,+112627.280936,+4354713.38863,+122882.361874
2009-07-01 09:00:48 EDT,+12689305.5536,+373344.526567,+4432402.70495,+135968.55981,+3895234.10835,+112606.388826,+4361668.74031,+124769.57793
2009-07-01 09:00:52 EDT,+12689408.4303,+373345.309204,+4432402.69125,+135968.510342,+3895282.69286,+112606.547478,+4361723.04625,+124770.251383
2009-07-01 09:00:56 EDT,+12689447.9646,+373345.883404,+4432402.66747,+135968.479052,+3895282.71138,+112606.465734,+4361762.58575,+124770.938618
2009-07-01 09:01:00 EDT,+12689715.0604,+373374.261477,+4432544.89958,+135980.267621,+3895315.67922,+112614.866203,+4361854.48158,+124779.127652
2009-07-01 09:01:04 EDT,+12764431.7139,+376374.157409,+4463221.29258,+138320.495365,+3915818.80507,+112954.741778,+4385391.61621,+125098.920266
2009-07-01 09:01:08 EDT,+12764459.6292,+376373.999105,+4463221.37955,+138320.234895,+3915846.6033,+112954.869648,+4385391.64634,+125098.894562
2009-07-01 09:01:12 EDT,+12770171.7332,+377811.501676,+4463348.90518,+138322.000958,+3915912.37033,+112947.884125,+4390910.4577,+126541.616593
2009-07-01 09:01:16 EDT,+12770171.7347,+377811.510459,+4463348.90049,+138322.006517,+3915912.37288,+112947.888273,+4390910.46128,+126541.615669
2009-07-01 09:01:20 EDT,+12770213.2378,+377811.742058,+4463390.41663,+138322.299756,+3915912.36214,+112947.87046,+4390910.45906,+126541.571841
2009-07-01 09:01:24 EDT,+12770335.5214,+377812.679687,+4463445.05247,+138322.444097,+3915912.37645,+112947.77281,+4390978.0925,+126542.462779
2009-07-01 09:01:28 EDT,+12770405.3928,+377813.30568,+4463445.0275,+138322.418132,+3915912.39865,+112947.700676,+4391047.96669,+126543.186872
2009-07-01 09:01:32 EDT,+12770579.6371,+377815.276429,+4463597.27137,+138324.578054,+3915934.36238,+112947.809598,+4391048.00339,+126542.888777
2009-07-01 09:01:36 EDT,+12839352.7313,+378953.684047,+4487690.879,+138755.962298,+3936664.92884,+113295.233496,+4414996.92341,+126902.488254
2009-07-01 09:01:40 EDT,+12839500.4627,+378954.710546,+4487690.93959,+138755.633592,+3936694.98256,+113295.421936,+4415114.54054,+126903.655017
2009-07-01 09:01:44 EDT,+12839538.8447,+378955.279571,+4487690.92319,+138755.591916,+3936694.98095,+113295.341034,+4415152.94053,+126904.34662
2009-07-01 09:01:48 EDT,+12839595.0955,+378956.088196,+4487716.80113,+138756.118983,+3936694.98321,+113295.281516,+4415183.31112,+126904.687697
2009-07-01 09:01:52 EDT,+12843176.7003,+378963.42323,+4491278.29136,+138763.408973,+3936715.09328,+113295.643591,+4415183.31568,+126904.370666
2009-07-01 09:01:56 EDT,+12843267.0419,+378964.309306,+4491296.23121,+138763.793884,+3936715.09717,+113295.562985,+4415255.71352,+126904.952437
2009-07-01 09:02:00 EDT,+12732038.5012,+343263.755576,+4454952.26978,+127111.942316,+3896095.32106,+100711.610989,+4380990.9104,+115440.202271
2009-07-01 09:02:04 EDT,+12719616.8512,+339265.227265,+4449958.85966,+125508.217251,+3889975.9665,+98755.1391294,+4379682.02502,+115001.870885
