# file...... ratDigest_ALARMVOLTS_1.csv
# date...... Tue Oct  3 12:26:37 2017
# user...... dpinney
# host...... (null)
# group..... class=triplex_meter
# property.. measured_voltage_1
# limit..... 0
# interval.. 60
# timestamp,tm_1,tm_2
2017-01-01 12:00:00 PST,+121.031-0.0293242d,+120.284-120.029d
2017-01-01 12:01:00 PST,+121.031-0.0293242d,+120.284-120.029d
2017-01-01 12:02:00 PST,+121.031-0.0293242d,+120.284-120.029d
2017-01-01 12:03:00 PST,+121.031-0.0293242d,+120.284-120.029d
2017-01-01 12:04:00 PST,+121.031-0.0293242d,+120.284-120.029d
2017-01-01 12:05:00 PST,+121.403+0.00624414d,+120.654-119.994d
2017-01-01 12:06:00 PST,+121.403+0.00624414d,+120.654-119.994d
2017-01-01 12:07:00 PST,+121.403+0.00624414d,+120.654-119.994d
2017-01-01 12:08:00 PST,+121.403+0.00624414d,+120.654-119.994d
2017-01-01 12:09:00 PST,+121.392+0.00396661d,+120.642-119.996d
2017-01-01 12:10:00 PST,+121.392+0.0039666d,+120.642-119.996d
2017-01-01 12:11:00 PST,+121.392+0.0039666d,+120.642-119.996d
2017-01-01 12:12:00 PST,+121.392+0.0039666d,+120.642-119.996d
2017-01-01 12:13:00 PST,+121.392+0.0039666d,+120.642-119.996d
2017-01-01 12:14:00 PST,+121.392+0.0039666d,+120.642-119.996d
2017-01-01 12:15:00 PST,+120.655+0.00520288d,+120.655-119.995d
2017-01-01 12:16:00 PST,+120.655+0.00520288d,+120.655-119.995d
2017-01-01 12:17:00 PST,+120.655+0.00520288d,+120.655-119.995d
2017-01-01 12:18:00 PST,+120.655+0.00520288d,+120.655-119.995d
2017-01-01 12:19:00 PST,+120.655+0.00520288d,+120.655-119.995d
2017-01-01 12:20:00 PST,+120.655+0.00520288d,+120.655-119.995d
2017-01-01 12:21:00 PST,+120.655+0.00520288d,+120.655-119.995d
2017-01-01 12:22:00 PST,+120.655+0.00520288d,+120.655-119.995d
2017-01-01 12:23:00 PST,+120.655+0.00520288d,+120.655-119.995d
2017-01-01 12:24:00 PST,+120.655+0.00520288d,+120.655-119.995d
2017-01-01 12:25:00 PST,+120.655+0.00520288d,+120.655-119.995d
2017-01-01 12:26:00 PST,+120.655+0.00520288d,+120.655-119.995d
2017-01-01 12:27:00 PST,+120.655+0.00520288d,+120.655-119.995d
2017-01-01 12:28:00 PST,+120.655+0.00520288d,+120.655-119.995d
2017-01-01 12:29:00 PST,+120.655+0.00520288d,+120.655-119.995d
2017-01-01 12:30:00 PST,+0+0d,+120.655-119.995d
2017-01-01 12:31:00 PST,+0+0d,+120.655-119.995d
2017-01-01 12:32:00 PST,+0+0d,+120.655-119.995d
2017-01-01 12:33:00 PST,+0+0d,+120.655-119.995d
2017-01-01 12:34:00 PST,+0+0d,+120.667-119.994d
2017-01-01 12:35:00 PST,+0+0d,+120.667-119.994d
2017-01-01 12:36:00 PST,+0+0d,+120.667-119.994d
2017-01-01 12:37:00 PST,+0+0d,+120.667-119.994d
2017-01-01 12:38:00 PST,+0+0d,+120.667-119.994d
2017-01-01 12:39:00 PST,+0+0d,+120.667-119.994d
2017-01-01 12:40:00 PST,+0+0d,+120.667-119.994d
2017-01-01 12:41:00 PST,+0+0d,+120.667-119.994d
2017-01-01 12:42:00 PST,+0+0d,+120.667-119.994d
2017-01-01 12:43:00 PST,+0+0d,+120.667-119.994d
2017-01-01 12:44:00 PST,+0+0d,+120.667-119.994d
2017-01-01 12:45:00 PST,+0+0d,+105.586-122.911d
2017-01-01 12:46:00 PST,+0+0d,+105.586-122.911d
2017-01-01 12:47:00 PST,+0+0d,+105.586-122.911d
2017-01-01 12:48:00 PST,+0+0d,+105.586-122.911d
2017-01-01 12:49:00 PST,+0+0d,+105.586-122.911d
2017-01-01 12:50:00 PST,+0+0d,+105.586-122.911d
2017-01-01 12:51:00 PST,+0+0d,+105.586-122.911d
2017-01-01 12:52:00 PST,+0+0d,+105.586-122.911d
2017-01-01 12:53:00 PST,+0+0d,+105.586-122.911d
2017-01-01 12:54:00 PST,+0+0d,+105.586-122.911d
2017-01-01 12:55:00 PST,+0+0d,+105.586-122.911d
2017-01-01 12:56:00 PST,+0+0d,+105.586-122.911d
2017-01-01 12:57:00 PST,+0+0d,+105.586-122.911d
2017-01-01 12:58:00 PST,+0+0d,+105.586-122.911d
2017-01-01 12:59:00 PST,+0+0d,+105.586-122.911d
2017-01-01 13:00:00 PST,+0+0d,+105.582-122.912d
